DS1,DpB,T3,VA,YseA,D2
1641.0,279.0,81.97,546.0,0.12,376.5
1670.0,289.0,82.11,474.0,0.21,376.5
1666.0,287.0,82.49,553.0,0.15,362.5
1674.0,281.0,82.23,484.0,0.11,363.0
1667.0,291.0,82.51,509.0,0.12,369.0
1656.0,284.0,82.38,544.0,0.12,370.0
1666.0,286.0,82.31,475.0,0.1,366.0
1650.0,295.0,82.68,551.0,0.09,378.5
1646.0,312.0,82.54,482.0,0.19,392.5
1652.0,296.0,82.26,521.0,0.17,383.5
1650.0,300.0,82.67,403.0,0.14,411.0
1651.0,299.0,81.98,494.0,0.19,386.5
1628.0,323.0,81.98,452.0,0.16,427.5
1627.0,284.0,82.4,515.0,0.07,371.5
1630.0,291.0,82.38,534.0,0.12,369.5
1628.0,280.0,82.04,446.0,0.08,378.5
1601.0,284.0,82.0,476.0,0.22,387.5
1617.0,290.0,82.18,459.0,0.21,385.5
1625.0,293.0,82.72,304.0,0.13,404.0
1588.0,305.0,82.27,384.0,0.17,407.0
1659.0,266.0,81.78,472.0,0.13,355.5
1644.0,278.0,81.78,362.0,0.17,349.5
1622.0,298.0,82.08,538.0,0.13,372.5
1665.0,300.0,82.51,426.0,0.19,424.0
1628.0,322.0,82.31,357.0,0.13,450.0
1635.0,313.0,81.95,434.0,0.12,409.5
1647.0,274.0,81.24,500.0,0.11,407.5
1665.0,206.0,81.81,350.0,0.13,376.5
1635.0,272.0,81.9,543.0,0.16,366.5
1661.0,293.0,81.55,613.0,0.11,339.0
1653.0,297.0,81.86,489.0,0.12,380.5
1638.0,193.0,82.24,342.0,0.15,443.0
1618.0,299.0,82.11,402.0,0.12,418.0
1618.0,299.0,82.19,448.0,0.11,437.5
1615.0,316.0,82.47,470.0,0.11,457.0
1616.0,319.0,81.96,383.0,0.08,464.5
1623.0,294.0,81.78,371.0,0.13,398.5
1607.0,288.0,81.61,480.0,0.13,393.0
1630.0,251.0,81.69,407.0,0.08,398.0
1622.0,278.0,82.14,471.0,0.1,383.5
1635.0,275.0,82.51,403.0,0.1,382.5
1604.0,281.0,81.36,508.0,0.09,390.0
1639.0,305.0,82.52,375.0,0.12,426.5
1635.0,320.0,82.03,377.0,0.14,432.0
1629.0,311.0,82.1,343.0,0.2,432.5
1631.0,300.0,82.28,434.0,0.12,395.5
1635.0,305.0,82.02,381.0,0.07,405.0
1614.0,288.0,81.72,423.0,0.09,393.0
1621.0,299.0,81.69,265.0,0.13,415.5
1617.0,336.0,81.88,330.0,0.1,456.0
1639.0,301.0,82.09,368.0,0.12,478.5
1638.0,285.0,81.43,389.0,0.13,375.0
1614.0,312.0,82.03,355.0,0.13,398.0
1611.0,319.0,82.05,385.0,0.12,406.5
1609.0,323.0,81.96,419.0,0.11,416.0
1603.0,326.0,81.84,466.0,0.14,421.5
1595.0,346.0,81.89,369.0,0.15,453.0
1612.0,313.0,81.72,414.0,0.11,413.5
1610.0,308.0,81.72,442.0,0.11,417.5
1629.0,311.0,82.07,405.0,0.12,415.5
1633.0,327.0,82.53,392.0,0.1,433.0
1617.0,311.0,82.3,421.0,0.1,437.0
1643.0,333.0,82.27,281.0,0.12,441.0
1642.0,241.0,82.35,471.0,0.11,426.0
1651.0,299.0,81.78,564.0,0.09,364.5
1621.0,366.0,82.09,264.0,0.11,445.0
1604.0,311.0,81.95,386.0,0.1,394.0
1633.0,307.0,81.38,308.0,0.1,394.0
1586.0,320.0,81.82,278.0,0.11,438.5
1606.0,278.0,82.01,266.0,0.13,398.0
1610.0,296.0,81.92,296.0,0.12,418.5
1595.0,307.0,82.25,364.0,0.14,432.5
1607.0,304.0,82.3,358.0,0.12,426.0
1593.0,305.0,81.88,342.0,0.12,427.0
1628.0,294.0,81.79,338.0,0.11,394.5
1634.0,271.0,81.7,415.0,0.16,366.0
1645.0,267.0,81.89,327.0,0.1475,373.0
1614.0,164.0,81.67,378.0,0.17,379.5
1650.0,276.0,81.98,385.0,0.08,370.5
1619.0,310.0,81.83,297.0,0.15,426.0
1614.0,311.0,81.93,318.0,0.18,422.5
1607.0,319.0,81.64,336.0,0.14,430.5
1647.0,292.0,82.14,440.0,0.17,400.5
1640.0,302.0,81.74,341.0,0.15,390.5
1679.0,298.0,81.8,352.0,0.11,415.5
1673.0,308.0,81.72,302.0,0.14,418.0
1647.0,307.0,82.3,380.0,0.13,424.5
1627.0,316.0,82.25,299.0,0.12,429.5
1606.0,306.0,82.15,436.0,0.16,401.5
1623.0,304.0,81.89,315.0,0.11,429.0
1640.0,277.0,81.46,481.0,0.12,360.5
1657.0,286.0,81.77,347.0,0.18,389.0
1654.0,319.0,82.19,361.0,0.15,434.5
1631.0,291.0,81.76,477.0,0.12,354.5
1634.0,304.0,81.95,485.0,0.13,357.0
1639.0,298.0,82.12,481.0,0.12,367.5
1645.0,291.0,82.3,478.0,0.11,378.0
1639.0,293.0,82.39,465.0,0.16,387.5
1659.0,315.0,82.14,424.0,0.14,401.0
1655.0,306.0,81.93,419.0,0.1,400.5
1639.0,301.0,81.97,431.0,0.12,399.0
1641.0,325.0,81.73,232.0,0.14,437.0
1639.0,323.0,81.99,265.0,0.13,447.0
1625.0,313.0,82.24,323.0,0.15,442.0
1644.0,295.0,82.08,368.0,0.18,385.0
1635.0,296.0,82.23,353.0,0.12,409.5
1643.0,315.0,82.2,314.0,0.14,421.0
1636.0,307.0,82.07,334.0,0.22,406.0
1649.0,306.0,82.65,461.0,0.15,395.0
1655.0,326.0,82.47,335.0,0.18,409.5
1666.0,325.0,82.45,284.0,0.12,442.0
1671.0,305.0,82.07,400.0,0.13,397.5
1655.0,306.0,82.26,402.0,0.12,397.0
1625.0,311.0,81.59,318.0,0.13,417.0
1634.0,320.0,81.83,280.0,0.14,427.5
1633.0,301.0,82.17,313.0,0.13,390.0
1644.0,318.0,82.47,285.0,0.09,421.0
1624.0,318.0,82.31,301.0,0.11,425.0
1616.0,302.0,82.24,343.0,0.13,409.0
1670.0,252.0,81.03,368.0,0.1,389.5
1664.0,283.0,82.03,406.0,0.14,377.0
1673.0,275.0,82.35,443.0,0.12,373.0
1656.0,184.0,81.8,470.0,0.14,428.0
1628.0,307.0,82.06,355.0,0.11,402.5
1646.0,305.0,81.76,585.0,0.12,361.0
1631.0,301.0,82.21,444.0,0.15,375.0
1650.0,312.0,82.12,301.0,0.13,412.5
1650.0,327.0,82.53,373.0,0.14,446.5
1632.0,313.0,82.3,433.0,0.1125,405.0
1654.0,308.0,82.4,402.0,0.13,411.5
1681.0,299.0,81.95,522.0,0.09,358.0
1659.0,306.0,82.05,529.0,0.1,407.0
1652.0,283.0,82.41,408.0,0.09,361.0
1645.0,324.0,82.07,423.0,0.14,420.5
1642.0,309.0,82.31,424.0,0.1,398.0
1640.0,315.0,82.42,381.0,0.093,399.5
1652.0,280.0,82.08,454.0,0.09,383.0
1631.0,310.0,82.12,357.0,0.1,408.0
1625.0,316.0,81.55,325.0,0.14,410.5
1642.0,262.0,82.05,513.0,0.12,395.0
1635.0,310.0,82.47,368.0,0.1,394.5
1646.0,322.0,82.58,305.0,0.12,408.0
1630.0,319.0,82.47,358.0,0.12,411.0
1623.0,306.0,82.2,326.0,0.13,398.5
1618.0,297.0,82.58,457.0,0.16,391.5
1617.0,308.0,82.39,330.0,0.11,397.5
1648.0,223.0,82.93,388.0,0.12,344.0
1656.0,245.0,82.55,404.0,0.13,365.0
1607.0,256.0,82.24,400.0,0.14,376.0
1653.0,243.0,82.5,379.0,0.12,363.0
1626.0,257.0,82.18,331.0,0.14,405.5
1615.0,266.0,82.0,406.0,0.14,385.0
1628.0,269.0,82.28,443.0,0.1,397.5
1642.0,238.0,82.65,387.0,0.12,378.5
1640.0,262.0,82.17,427.0,0.14,380.0
1647.0,232.0,82.58,430.0,0.14,377.0
1648.0,245.0,82.55,429.0,0.08,382.0
1624.0,242.0,82.33,403.0,0.11,394.5
1613.0,234.0,82.27,450.0,0.07,387.0
1611.0,200.0,81.1,431.0,0.11,327.0
1647.0,179.0,81.04,507.0,0.1,285.5
1621.0,278.0,82.36,311.0,0.1,421.5
1637.0,252.0,82.34,403.0,0.08,389.0
1627.0,294.0,82.31,453.0,0.09,414.0
1623.0,234.0,81.86,367.0,0.12,347.0
1632.0,235.0,82.16,367.0,0.12,360.5
1621.0,258.0,82.26,416.0,0.1,406.5
1627.0,270.0,82.21,403.0,0.12,391.5
1634.0,279.0,82.03,454.0,0.09,393.0
1629.0,272.0,81.51,357.0,0.11,398.5
1612.0,264.0,81.98,374.0,0.11,415.5
1599.0,231.0,82.36,453.0,0.11,370.5
1622.0,188.0,81.9,492.0,0.14,360.0
1601.0,250.0,82.42,452.0,0.1,381.5
1605.0,247.0,82.06,427.0,0.13,384.5
1630.0,270.0,81.9,525.0,0.14,371.0
1648.0,160.0,81.68,422.0,0.13,373.5
1631.0,203.0,82.3,371.0,0.12,400.0
1600.0,271.0,82.21,416.0,0.1,422.5
1600.0,272.0,82.06,470.0,0.14,410.5
1619.0,228.0,81.2,422.0,0.12,361.0
1613.0,255.0,82.26,452.0,0.13,373.0
1637.0,256.0,82.35,478.0,0.16,367.0
1633.0,262.0,82.3,473.0,0.16,365.5
1643.0,273.0,82.3,448.0,0.11,385.5
1617.0,252.0,82.02,399.0,0.13,404.0
1657.0,245.0,82.57,406.0,0.17,368.5
1633.0,238.0,82.77,402.0,0.16,379.0
1647.0,232.0,82.25,385.0,0.14,355.0
1653.0,221.0,82.39,424.0,0.14,346.0
1639.0,258.0,81.93,410.0,0.12,354.0
1666.0,263.0,81.98,374.0,0.14,368.5
1641.0,248.0,82.36,381.0,0.15,375.0
1645.0,241.0,82.17,430.0,0.17,344.0
1672.0,255.0,82.42,417.0,0.16,343.0
1665.0,230.0,82.67,320.0,0.14875,367.0
1679.0,227.0,82.22,401.0,0.19,335.5
1663.0,254.0,82.06,365.0,0.14,353.5
1666.0,261.0,82.38,403.0,0.16,355.0
1655.0,259.0,82.41,494.0,0.14,327.0
1642.0,250.0,82.31,405.0,0.11,364.0
1652.0,261.0,82.44,450.0,0.16,356.0
1676.0,223.0,81.97,479.0,0.15,324.5
1664.0,246.0,82.36,403.0,0.14,378.0
1645.0,252.0,82.38,309.0,0.13,407.5
1648.0,237.0,81.74,451.0,0.13,349.0
1656.0,219.0,82.26,439.0,0.11,328.0
1660.0,231.0,82.3,442.0,0.11,330.5
1661.0,224.0,82.38,455.0,0.13,333.0
1625.0,225.0,82.39,407.0,0.16,355.0
1618.0,231.0,81.57,431.0,0.15,337.0
1676.0,234.0,82.35,438.0,0.13,339.0
1644.0,227.0,82.24,460.0,0.15,345.5
1620.0,252.0,81.83,471.0,0.14,376.5
1605.0,267.0,82.37,372.0,0.13,395.0
1630.0,226.0,82.55,428.0,0.12,343.5
1606.0,218.0,82.48,541.0,0.15,336.5
1634.0,244.0,81.92,379.0,0.12,334.5
1611.0,241.0,82.35,486.0,0.19,353.0
1618.0,216.0,82.15,497.0,0.15,325.0
1616.0,216.0,82.14,473.0,0.11,324.0
1638.0,215.0,82.23,515.0,0.15,320.5
1636.0,224.0,82.34,495.0,0.14,329.5
1618.0,224.0,82.59,412.0,0.15,340.5
1610.0,263.0,82.63,449.0,0.17,387.5
1608.0,241.0,82.5,413.0,0.16,363.0
1627.0,231.0,82.22,453.0,0.18,348.5
1630.0,239.0,82.16,433.0,0.14,362.0
1611.0,231.0,82.25,412.0,0.2,357.0
1631.0,238.0,82.68,487.0,0.21,363.5
1628.0,196.0,81.52,527.0,0.15,294.0
1646.0,195.0,81.96,497.0,0.15,288.0
1660.0,210.0,81.74,473.0,0.14,298.5
1625.0,198.0,81.35,443.0,0.18,303.0
1629.0,201.0,81.69,445.0,0.16,315.0
1626.0,199.0,82.22,447.0,0.17,329.0
1621.0,235.0,81.62,366.0,0.15,335.0
1616.0,220.0,81.6,497.0,0.16,339.5
1611.0,214.0,81.83,470.0,0.14,340.0
1635.0,220.0,81.94,480.0,0.17,331.5
1642.0,228.0,81.78,458.0,0.14,321.5
1621.0,219.0,81.82,444.0,0.13,330.5
1601.0,216.0,82.03,503.0,0.19,334.0
1624.0,216.0,82.54,483.0,0.16,325.5
1636.0,233.0,81.92,432.0,0.14,355.5
1633.0,226.0,82.36,474.0,0.18,363.0
1618.0,254.0,82.25,395.0,0.15,383.5
1611.0,234.0,82.13,436.0,0.15,367.0
1614.0,220.0,82.42,335.0,0.08,395.5
1624.0,210.0,82.11,445.0,0.14,348.0
1618.0,267.0,81.91,390.0,0.17,412.0
1643.0,230.0,81.25,495.0,0.16,350.5
1652.0,235.0,81.82,470.0,0.14,351.5
1639.0,264.0,82.3,379.0,0.1,396.5
1635.0,244.0,81.54,496.0,0.12,355.5
1646.0,200.0,81.69,501.0,0.13,346.5
1643.0,243.0,81.49,465.0,0.14,343.5
1646.0,264.0,81.54,520.0,0.14,376.5
1622.0,240.0,82.3,411.0,0.16,389.0
1638.0,216.0,81.74,519.0,0.09,340.0
1655.0,241.0,81.76,452.0,0.16,368.0
1646.0,237.0,82.17,492.0,0.15,365.0
1600.0,240.0,82.36,406.0,0.12,402.5
1619.0,244.0,82.17,445.0,0.14,365.0
1664.0,247.0,82.4,400.0,0.14,357.5
1662.0,252.0,82.58,442.0,0.12,391.0
1638.0,269.0,82.5,376.0,0.15,394.5
1598.0,245.0,82.17,353.0,0.2,402.0
1639.0,259.0,82.33,304.0,0.16,418.0
1649.0,250.0,82.76,405.0,0.11,379.5
1634.0,242.0,82.71,455.0,0.16,404.5
1605.0,252.0,82.26,350.0,0.13,419.5
1653.0,259.0,82.9,444.0,0.22,423.5
1630.0,276.0,82.33,341.0,0.16,430.5
1637.0,258.0,81.81,425.0,0.15,372.5
1652.0,239.0,82.04,475.0,0.22,375.5
1654.0,261.0,82.36,439.0,0.16,377.5
1657.0,248.0,82.34,422.0,0.15,383.0
1623.0,276.0,82.62,335.0,0.11,438.0
1627.0,244.0,82.93,430.0,0.17,408.5
1620.0,246.0,81.87,416.0,0.16,383.0
1620.0,188.0,81.71,538.0,0.21,338.0
1641.0,158.0,81.79,357.0,0.22,366.0
1625.0,234.0,82.41,355.0,0.15,404.5
1620.0,242.0,82.73,409.0,0.14,416.0
1628.0,242.0,82.4,401.0,0.17,382.0
1622.0,235.0,82.18,418.0,0.18,377.0
1624.0,230.0,82.11,480.0,0.18,381.5
1639.0,222.0,82.15,452.0,0.13,346.0
1653.0,210.0,82.45,542.0,0.15,320.5
1635.0,245.0,82.11,358.0,0.15,366.5
1636.0,222.0,82.07,492.0,0.14,350.5
1619.0,225.0,81.97,587.0,0.15,340.0
1626.0,241.0,81.68,460.0,0.18,351.0
1645.0,190.0,82.0,531.0,0.16,332.5
1632.0,242.0,82.03,452.0,0.12,364.5
1638.0,242.0,82.09,476.0,0.22,349.5
1636.0,245.0,81.88,400.0,0.18,357.5
1626.0,271.0,82.23,391.0,0.16,419.0
1622.0,275.0,82.09,389.0,0.17,419.0
1650.0,228.0,82.41,406.0,0.15,359.0
1635.0,237.0,82.51,364.0,0.14,373.5
1637.0,262.0,82.04,367.0,0.16,394.0
1614.0,248.0,81.95,510.0,0.17,369.0
1617.0,238.0,81.96,431.0,0.17,360.0
1610.0,219.0,82.0,500.0,0.18,363.0
1613.0,228.0,82.1,463.0,0.16,354.5
1626.0,248.0,82.18,478.0,0.11,376.5
1638.0,241.0,82.35,476.0,0.15,355.5
1644.0,234.0,82.31,455.0,0.13,353.0
1645.0,226.0,82.25,433.0,0.1,364.0
1653.0,259.0,82.2,445.0,0.13,367.5
1635.0,223.0,82.76,476.0,0.17,332.5
1666.0,240.0,82.9,493.0,0.15,370.5
1644.0,236.0,82.07,492.0,0.2,379.5
1633.0,258.0,82.06,499.0,0.14,382.0
1654.0,168.0,82.34,505.0,0.21,398.0
1675.0,266.0,82.35,487.0,0.18,376.5
1642.0,272.0,82.58,438.0,0.2,391.5
1638.0,265.0,81.97,449.0,0.17,398.5
1616.0,270.0,81.79,428.0,0.22,423.5
1636.0,258.0,81.58,508.0,0.15,366.0
1637.0,245.0,80.99,635.0,0.22,336.5
1631.0,233.0,82.45,429.0,0.2,370.0
1615.0,261.0,82.23,451.0,0.15,391.0
1626.0,242.0,81.58,494.0,0.15,359.0
1625.0,246.0,82.24,484.0,0.14,373.5
1608.0,223.0,82.13,544.0,0.13,344.5
1634.0,143.0,82.14,531.0,0.2,359.5
1610.0,244.0,82.42,447.0,0.12,403.5
1613.0,254.0,82.13,490.0,0.22,368.0
1633.0,234.0,82.28,435.0,0.2,356.5
1645.0,154.0,82.23,555.0,0.16,361.0
1625.0,261.0,82.67,486.0,0.18,403.0
1640.0,240.0,82.82,396.0,0.15,361.0
1574.0,255.0,80.92,480.0,0.18,361.5
1627.0,276.0,82.41,377.0,0.19,420.5
1642.0,153.0,82.07,453.0,0.21,361.5
1605.0,274.0,82.47,466.0,0.15,385.5
1600.0,239.0,82.32,527.0,0.12,378.0
1648.0,275.0,82.9,424.0,0.17,381.0
1639.0,303.0,82.42,397.0,0.14,411.5
1626.0,280.0,82.57,473.0,0.14,406.5
1622.0,293.0,82.85,425.0,0.16,397.0
1633.0,281.0,82.16,392.0,0.14,441.0
1634.0,279.0,82.64,483.0,0.19,400.5
1647.0,274.0,82.3,439.0,0.17,382.5
1640.0,283.0,82.44,504.0,0.15,369.0
1642.0,281.0,82.47,435.0,0.19125,377.5
